0,BTL ,QUESTION,topic,difficulty
585,4,Propose and justify strategies for securing Internet of Things (IoT) devices against cyberattacks in smart home environments.,Linked List,2
728,4,Compare the benefits and limitations of using blockchain technology versus traditional databases for data storage.,Linked List,1
745,4,Analyze the trade-offs between using rule-based versus machine learning-based approaches in robotic control systems.,Linked List,3
696,4,Analyze the trade-offs between using GraphQL versus REST APIs for web application data fetching.,Arrays,3
707,4,Data Analysis and Visualization,Sorting,1
759,4,Analyze the role of risk management versus change management in IT project success.,Arrays,3
750,4,Compare the advantages of manual testing versus automated testing in software development.,Arrays,2
700,4,Compare the trade-offs between using local storage versus cloud storage for mobile app data caching.,Trees,2
638,4,Write a program to produce the Fibonacci series in Python.,Recursion,1
767,4,Analyze the effectiveness of different shading techniques (flat shading vs. smooth shading) in computer graphics.,Recursion,1
565,4,Is Dijkstra's algorithm a Greedy or Dynamic Programming algorithm?,Arrays,3
712,4,Analyze the impact of data cleaning versus data augmentation on the quality of analysis results.,Other,2
681,4,Compare the advantages of Agile versus Waterfall methodologies in software development projects.,Arrays,1
566,4,Does Hashing can help in constructing Data?,Recursion,2
761,4,Compare the effectiveness of using Identity and Access Management (IAM) solutions versus traditional authentication methods in cloud security.,Sorting,1
635,4,Can you explain the use of the __init__ method in Python classes?,Recursion,3
601,4,Compare and contrast different error correction codes used in digital communication systems and analyze their performance in noisy channels.,Trees,1
629,4,"Can you explain the significance of different shapes used in a flowchart, like rectangles, diamonds, and ovals?",Arrays,3
690,4,"Compare the strengths and weaknesses of different loss functions (e.g., mean squared error vs. cross-entropy) in training neural networks.",Trees,3
576,4,Propose and justify strategies for mitigating the risks associated with insider threats in corporate IT environments.,Trees,2
721,4,Compare the features and limitations of different programming paradigms (imperative vs. declarative).,Sorting,2
686,4,Machine Learning and Artificial Intelligence,Sorting,1
631,4,Describe histogram vs. bar graph.,Recursion,2
672,4,Evaluate the benefits and limitations of employing penetration testing versus vulnerability scanning for identifying security weaknesses.,Other,1
606,4,Propose and justify strategies for optimizing power consumption in mobile communication devices and evaluate their impact on battery life.,Other,1
674,4,"Analyze the effectiveness of various endpoint security solutions (e.g., EDR vs. antivirus) in protecting against malware.",Other,1
567,4,Provide examples of different data types?,Recursion,1
737,4,Compare the ethical considerations of data mining versus user consent in data-driven applications.,Sorting,1
888,5,How to design a recursive algorithm to find the longest palindromic subsequence within a string?,Sorting,2
778,5,"Can you explain how binary search trees can be used to implement various set operations like union, intersection, and difference?",Arrays,3
796,5,"How can you visualize natural language processing results, such as sentiment analysis, topic modeling, and named entity recognition, to provide meaningful insights from unstructured text?",Sorting,3
793,5,How can data visualization and interactive tools enhance the communication and dissemination of research findings to both scientific and non-scientific audiences?,Arrays,1
782,5,"How can search, insertion and deletion in a binary search tree be improved?",Sorting,3
790,5,Describe various strategies for sorting large datasets that cannot fit into memory. How can external sorting algorithms be used to efficiently sort such datasets?,Arrays,3
950,5,"What is the concept of a ""dummy node"" and how it can be used to simplify operations on doubly linked lists?",Trees,3
799,5,What are the ethical considerations and potential biases associated with using automated decision-making algorithms that rely on large-scale data analysis?,Other,3
887,5,"How is the ""divide and conquer"" approach related to recursion, and provide examples of algorithms that follow this paradigm?",Linked List,1
830,5,Debate the ethical implications of data mining techniques in online advertising for user privacy and autonomy.,Trees,1
847,5,Judge the scalability of a distributed database system for handling concurrent read and write operations in a cloud environment.,Recursion,1
936,5,Could you provide an example of how a doubly linked list can be used in a real-world application?,Linked List,1
963,5,Could you provide examples of algorithms that utilize doubly linked lists for solving specific problems?,Sorting,1
806,5,"When visualizing time-series data, what are the best practices for handling temporal changes and trends?",Trees,1
942,5,How do you handle memory deallocation and potential memory leaks when working with doubly linked lists?,Other,3
770,5,How to convert a BST into a Greater Sum Tree without using extra space?,Arrays,1
889,5,"What is the concept of memoization in recursion, and how can it improve the efficiency of certain recursive algorithms?",Recursion,1
798,5,"Python provides various libraries and frameworks for data analysis and scientific computing, such as NumPy, pandas, and SciPy.",Trees,1
808,5,Judge the effectiveness of a machine learning model for sentiment analysis based on its accuracy and generalization performance.,Arrays,1
949,5,"What are the trade-offs between using an explicit ""previous"" pointer and a ""reverse"" pointer when reversing a doubly linked list?",Arrays,3
777,5,How can you determine whether a given binary tree is a valid binary search tree?,Sorting,1
946,5,How could you implement a doubly linked list that maintains a sliding window of a fixed size efficiently?,Other,2
959,5,What are the advantages and disadvantages of using a doubly linked list over a singly linked list?,Arrays,3
832,5,Assess the feasibility of implementing blockchain technology for ensuring the integrity and transparency of supply chain management.,Trees,1
837,5,Debate the ethical implications of using artificial intelligence algorithms for automated decision-making in healthcare diagnostics.,Recursion,1
861,5,Debate the ethical implications of using artificial intelligence algorithms for autonomous weapons systems in military operations.,Linked List,3
856,5,Assess the efficiency of a blockchain-based smart contract platform for automating business processes and transactions.,Sorting,2
784,5,What are the different cases to consider when deleting a node in a binary search tree?,Recursion,1
866,5,An IoT (Internet of Things) startup is assessing the security vulnerabilities of smart home devices connected to its platform.,Recursion,2
781,5,Can you provide examples of algorithms or strategies for converting a sorted array into a balanced binary search tree?,Sorting,1
872,5,"What is inheritance in Python, and how does it facilitate code reuse and organization?",Sorting,1
819,5,"Debate the ethical considerations of using autonomous vehicles in terms of safety, liability, and societal impact.",Recursion,1
954,5,Can you explain how doubly linked lists can be used in LRU (Least Recently Used) cache replacement policies?,Sorting,3
958,5,Could you explain the process of swapping adjacent elements in a doubly linked list?,Arrays,3
966,5,How does the use of a doubly linked list in a memory allocator contribute to managing memory fragmentation?,Other,1
911,5,How can a stack be utilized in solving problems related to tree traversal?,Trees,3
826,5,Judge the reliability of a software-defined storage (SDS) solution in optimizing data storage and retrieval across heterogeneous environments.,Other,3
780,5,What is the difference between a top-down and a bottom-up approach when constructing a balanced binary search tree?,Trees,3
831,5,Judge the efficiency of a cybersecurity incident response plan in containing and mitigating the impact of a data breach.,Sorting,3
825,5,"Assess the reliability of a distributed consensus algorithm (e.g., Paxos, Raft) for achieving fault tolerance in distributed systems.",Arrays,3
893,5,How to link nodes present in each level of a binary tree in the form of a linked list?,Other,3
785,5,What is the time complexity of constructing a binary search tree from a sorted list of elements?,Trees,1
771,5,Are there any real-world examples or projects that heavily rely on binary search trees for solving complex problems?,Other,2
961,5,"In what scenarios would using a doubly linked list be more suitable than using a dynamic array, especially when considering memory allocation and resizing?",Arrays,2
875,5,"What is the principle of ""Divide and Conquer,"" and how is it related to recursion?",Other,1
899,5,How can a stack be used to convert an infix expression to a postfix expression?,Recursion,3
842,5,Criticize the fairness and transparency of algorithmic decision-making systems used in online lending and credit scoring.,Other,1
812,5,Judge the scalability of a cloud computing infrastructure for handling variable workloads and peak demand scenarios.,Recursion,3
795,5,"How can they handle issues related to echo chambers, filter bubbles, and other forms of digital polarization that can affect the representativeness of the data?",Trees,2
811,5,Critique the usability of a mobile application interface and propose improvements based on user feedback and ergonomic principles.,Recursion,2
912,5,How can a stack help in solving problems related to finding nearest smaller elements?,Arrays,1
858,5,Criticize the fairness and transparency of algorithmic decision-making systems used in online content recommendation.,Trees,2
809,5,Assess the security vulnerabilities of a web application and recommend strategies for enhancing its cybersecurity posture.,Linked List,2
829,5,Assess the reliability of a virtual private network (VPN) for securing remote access to corporate networks.,Trees,3
896,5,What are the advantages and disadvantages of using a singly linked list over an array?,Recursion,2
898,5,"How can a stack be employed in a web browser's ""back"" functionality?",Arrays,2
813,5,Assess the reliability of a software testing framework in detecting and fixing defects across multiple platforms and environments.,Recursion,3
824,5,Debate the ethical implications of using predictive analytics in law enforcement for crime prediction and prevention.,Sorting,2
818,5,Judge the effectiveness of a bug bounty program in identifying and resolving security vulnerabilities in software applications.,Sorting,3
835,5,Judge the effectiveness of a data anonymization technique in protecting sensitive information while preserving data utility.,Other,2
787,5,How can binary search trees be used to solve problems related to finding the closest or next greater/smaller element?,Recursion,2
953,5,Can you explain how a doubly linked list can be used in an implementation of a music playlist?,Sorting,3
850,5,Criticize the reliability of a two-factor authentication (2FA) system in preventing unauthorized access to online accounts.,Linked List,1
779,5,Can you provide an example of a real-world problem that can be effectively solved using a binary search tree?,Other,2
940,5,How can you implement a circular doubly linked list with an efficient insertion and deletion mechanism?,Sorting,3
854,5,Critique the accuracy of a natural language processing (NLP) model for sentiment analysis in customer feedback analysis.,Linked List,1
962,5,"What are the performance considerations when using doubly linked lists, especially in situations where frequent insertions and deletions are required?",Linked List,2
952,5,What are the steps to merge two sorted doubly linked lists without using any extra space?,Other,3
895,5,"How to find the middle element of a singly linked list using slow and fast pointers, and what applications does this have?",Other,2
948,5,What are the trade-offs between using a singly linked list and a doubly linked list in terms of memory consumption and ease of implementation?,Arrays,1
908,5,How does the collections.deque class in Python facilitate stack operations?,Other,1
956,5,"Can you explain the concept of a ""circular doubly linked list"" and the applications where it can provide advantages over other linked list variants?",Other,2
849,5,"Debate the ethical considerations of using biometric authentication methods (e.g., fingerprint, facial recognition) in law enforcement.",Other,3
939,5,How can you address synchronization issues when using doubly linked lists in a multi-threaded environment?,Arrays,3
833,5,"Debate the ethical considerations of using biometric authentication methods (e.g., fingerprint, facial recognition) in consumer devices.",Arrays,2
944,5,How would you implement a doubly linked list with constant time insertions and deletions at both ends?,Sorting,2
840,5,Assess the efficiency of a bug bounty program in incentivizing security researchers to discover and report software vulnerabilities.,Sorting,3
769,5,"What are some common misconceptions or pitfalls associated with binary search trees, and how can they be avoided?",Arrays,1
834,5,Criticize the reliability of a network intrusion detection system (NIDS) in accurately identifying and blocking malicious network traffic.,Other,2
774,5,"What is the worst-case time complexity of searching, inserting, and deleting in a binary search tree?",Other,2
212,1,What are the differences between a set and a list in Python?,Other,2
51,1,How does the binary search property impact the time complexity of searching for an element in a binary search tree?,Recursion,1
18,1,How does the choice of insertion and deletion algorithms affect the balance of a binary search tree?,Recursion,1
241,1,What is the role of the stack pointer register in CPU architectures?,Sorting,3
34,1,"What is a ""balanced search tree"" and how does it differ from a binary search tree?",Recursion,1
229,1,How does tail call optimization affect the usage of the call stack?,Recursion,2
4,1,Can a binary search tree be empty?,Other,3
26,1,"What are ""self-balancing binary search trees""?",Other,2
111,1,How to install Python on Windows and set path variable?,Arrays,3
193,1,What is the purpose and usage of the 'pass' statement in Python?,Linked List,1
230,1,How the pop operation works on a stack?,Recursion,2
47,1,Why is balance important for efficient operations?,Arrays,2
41,1,"What is the ""successor"" of a node in a binary search tree?",Linked List,1
5,1,Find Diagonal Traversal of Binary Tree?,Sorting,2
214,1,What is list comprehension?,Linked List,3
43,1,"What is the difference between a ""binary search tree"" and a ""binary tree with the binary search property""?",Sorting,2
208,1,How do you remove an element from a list without knowing its index?,Sorting,3
133,1,Why do we need to learn Hashing?,Sorting,2
134,1,"How does the concept of hashing address the need for efficient data retrieval, and what are the key advantages it offers over traditional linear or binary search techniques?",Sorting,3
7,1,Find the Lowest Common Ancestor (LCA) of two nodes in a BST?,Recursion,3
223,1,What is a priority queue and how is it different from a regular queue?,Arrays,3
130,1,What is the Double Hashing?,Trees,2
9,1,How can you efficiently find the kth smallest or largest element in a Binary Search Tree without traversing the entire tree?,Trees,1
104,1,What is the concept of variable scope in Python?,Linked List,1
128,1,what is the comparison between the hashlib and the hmac libraries in Python?,Other,1
118,1,How does linear hashing enable dynamic resizing of hash tables without rehashing all elements?,Trees,2
77,1,How to find count of distinct elements in every sub-array of size k?,Linked List,3
248,1,How does the hardware stack in a microcontroller differ from a software-defined stack?,Trees,3
94,1,What are the rules for naming variables in Python?,Recursion,3
192,1,What is the difference between the '==' operator and the 'is' keyword?,Other,2
0,1,Are there any scenarios or types of data where a binary search tree might not be the best choice?,Recursion,3
19,1,"How does the concept of ""tree rotation"" work, and what are its applications in binary search trees?",Recursion,1
211,1,What are slicing and indexing in Python lists and strings?,Sorting,2
194,1,"What is the purpose of the ""staticmethod"" decorator, and how does it differ from the ""classmethod"" decorator?",Linked List,3
150,1,"What are references in Python, and how do they work?",Linked List,2
198,1,What is typecasting in Python?,Trees,1
68,1,What are void pointers?,Arrays,2
234,1,"What is a double-ended stack, and how is it different from a regular stack?",Recursion,2
29,1,What are the conditions that need to be maintained to ensure that a binary tree remains a valid binary search tree?,Recursion,1
127,1,What is Linear probing in hashing?,Arrays,3
53,1,"What are ""complete binary trees,"" and how do they differ from regular binary search trees?",Arrays,1
122,1,What are the important aspects of Hashing?,Trees,2
98,1,What is a conditional statement in Python?,Arrays,3
64,1,"What would it be called, if the tree's root has one child and that child has one child, then so on?",Recursion,2
253,1,How stack memory management can impact the scalability of parallel algorithms?,Other,1
197,1,What is the syntax of recursion?,Linked List,2
202,1,How do you take user input in Python?,Arrays,1
13,1,How do you binary search a tree?,Linked List,3
89,1,What are namespaces and scopes in Python?,Linked List,2
69,1,Find Duplicate Rows in a Binary Matrix?,Other,1
57,1,"What are the fundamental characteristics of a Binary Search Tree (BST), and how do they contribute to efficient data storage and retrieval?",Recursion,1
252,1,How distributed stack-based memory allocation can be advantageous for resource management?,Trees,2
195,1,What is the purpose of the 'items()' method in Python dictionaries?,Other,2
114,1,What is the difference between the Breadth First Search (BFS) and Depth First Search (DFS)?,Linked List,3
221,1,What are the applications for priority queue?,Arrays,2
245,1,How can thread synchronization mechanisms impact the usage of thread stacks?,Sorting,3
42,1,"What is the concept of a ""balanced"" binary search tree, and why is it important?",Arrays,2
115,1,"Additionally, how can you identify the most time-efficient route if there is a constraint on the maximum number of cities that can be visited along the path?",Other,1
65,1,How does the choice of traversal strategy impact the performance of binary search trees in different scenarios?,Linked List,1
79,1,How to find Index of Maximum Occurring Element with Equal Probability?,Trees,3
102,1,What is inheritance in OOP?,Arrays,2
40,1,What is bst?,Arrays,1
144,1,How can I sort a list in Python?,Other,1
28,1,What are the challenges of concurrent access and modification in multi-threaded environments with binary search trees?,Other,2
206,1,How do you define and call methods on strings in Python?,Recursion,2
213,1,"What are tuples in Python, and how are they different from lists?",Arrays,1
11,1,How do binary search trees fare in terms of cache locality and memory access patterns?,Sorting,2
207,1,"What are the differences  between single quotes (') and double quotes ("") when defining strings?",Arrays,2
238,1,What is the LIFO (Last-In-First-Out) principle in the context of stacks?,Trees,3
33,1,What challenges might arise when working with binary search trees in a concurrent or multi-threaded environment?,Other,3
21,1,How does tree rotations help in maintaining balance?,Arrays,3
147,1,What is a nested list?,Linked List,3
137,1,How does Hash actually works internally?,Recursion,3
112,1,How to remove whitespaces from a string in Python?,Arrays,2
227,1,How do you push an element onto a stack?,Sorting,3
113,1,"What is Dijkstra's algorithm, and how does it work?",Sorting,3
140,1,How many hashs can actually be called efficient and with what basis?,Linked List,1
119,1,How does locality-sensitive hashing enable efficient similarity search in high-dimensional spaces?,Linked List,3
148,1,What is the key difference between lists and tuples?,Linked List,2
205,1,What is the purpose of the else clause in a for loop in Python?,Trees,3
292,2,Is hash used in Machine learning?,Trees,3
330,2,Consider you're designing a wireless sensor network for environmental monitoring. Explain how you would select suitable communication protocols and energy-efficient routing algorithms to prolong network lifetime and data reliability.,Arrays,3
258,2,Can data change the world?,Other,3
364,2,Does apps datas need to be structured?,Recursion,2
335,2,"Suppose you're planning the deployment of a fiber optic network for high-speed internet access. Describe the fiber optic cable types, connector interfaces, and installation techniques you would use to optimize signal integrity and bandwidth.",Sorting,3
338,2,"Consider you're designing a cellular network for urban deployment. Explain how you would plan cell site locations, configure base station antennas, and optimize radio frequency (RF) coverage to provide seamless mobile connectivity.",Arrays,1
300,2,"Can you explain the concept of a ""comprehension"" in Python?",Trees,3
268,2,Is graph really necessary for a research paper?,Linked List,1
316,2,Compare the different types of distance metrics used in clustering and classification tasks.,Recursion,2
265,2,can you explain the concept of data normalization?,Linked List,2
308,2,"Can you explain the concept of a ""stack-based algorithm""?",Trees,2
365,2,Distinguish loop and recursion?,Trees,1
294,2,Can you illustrate the concept of rainbow tables in relation to hash cracking?,Arrays,2
257,2,Can a particular data provide the overview of an analysis?,Other,2
273,2,Can you explain the difference between Python 2 and Python 3?,Other,1
323,2,Compare the different types of neural network activation functions in terms of their properties and suitability for deep learning.,Arrays,3
319,2,Compare the various types of recommendation systems in terms of their recommendation accuracy and scalability.,Other,1
282,2,Print all Hamiltonian paths present in a graph?,Sorting,1
344,2,Suppose you're performing anomaly detection in network traffic data. Describe the unsupervised learning algorithms and feature engineering techniques you would apply to detect unusual patterns and potential security threats.,Sorting,2
329,2,"Discuss the principles of unsupervised learning techniques, explaining their use for discovering hidden patterns in data.",Arrays,2
348,2,"Differentiate between TCP and UDP protocols in terms of their reliability, ordering guarantees, and overhead.",Sorting,1
305,2,Is it possible to do a recursion without using loop?,Trees,3
277,2,"Graph is more like mapping, isn't it?",Arrays,1
261,2,can data link with someone?,Other,3
290,2,Can it be used to store user passwords?,Other,3
299,2,"Can you explain the concept of ""truthiness"" and ""falsiness"" in Python?",Other,3
347,2,"Explain the concept of virtual memory management in operating systems, discussing techniques such as paging and segmentation.",Other,3
312,2,Compare the different types of anomaly detection algorithms in terms of their detection capabilities and computational complexity.,Arrays,1
313,2,"Explain the concept of data augmentation in deep learning, discussing techniques for generating synthetic data to improve model generalization.",Sorting,2
289,2,Can hash be used on a cryptocurrency site?,Linked List,2
286,2,For an undirected graph with n vertices and e edges the sum of the degree of each vertex is equal tonA 2nnB 2enC e212nD 2n12?,Linked List,3
373,2,Will basic function outsmart recursive function?,Sorting,3
280,2,Does graph can be used in websites?,Arrays,1
304,2,Is it possible to apply loops in Recursion?,Trees,2
264,2,Can you add cells to store data?,Sorting,3
276,2,"Have you used any external libraries for specific tasks, such as data analysis, web development, or machine learning?",Trees,1
324,2,"Explain the concept of bias in machine learning algorithms, discussing its sources and implications for model fairness and inclusivity.",Linked List,1
293,2,Is Bug related with Hashing?,Trees,3
269,2,Is it really possible that data could solve any problem?,Arrays,1
354,2,"Explain the concept of pointers in C/C++ programming, discussing their role in memory manipulation and potential risks such as memory leaks.",Arrays,3
341,2,"Suppose you're training a convolutional neural network (CNN) for image classification tasks. Explain how you would preprocess image data, design the network architecture, and fine-tune model hyperparameters to optimize classification accuracy.",Linked List,1
296,2,Can you provide insights into the challenges and techniques of parallelizing recursive algorithms to take advantage of multi-core processors and distributed computing systems?,Sorting,1
322,2,"Discuss the principles of semi-supervised learning techniques, explaining their use for leveraging unlabeled data to improve model performance.",Recursion,1
332,2,"Imagine you're optimizing the throughput of a Wi-Fi network in a crowded urban area. Explain how you would mitigate interference, improve signal coverage, and prioritize traffic using quality of service (QoS) mechanisms.",Arrays,3
366,2,Don't you think Algorithm and Data Structure should be completed in the same semester instead of seperate semester?,Other,3
374,2,Will recursion make the stack queue easier than usual function?,Arrays,3
325,2,"Discuss the principles of text preprocessing techniques, explaining their role in NLP tasks.",Arrays,3
333,2,"Suppose you're troubleshooting a voice quality issue in a cellular network. Describe the key performance indicators (KPIs) and metrics you would analyze to identify factors affecting call drops, latency, and audio distortion.",Arrays,2
283,2,Are there efficient algorithms for solving it?,Linked List,3
262,2,Can we handle the large amount of data in small amount of time?,Trees,3
303,2,Can we use recursion in Hashing?,Linked List,3
298,2,Determine if two strings are anagram or not?,Arrays,3
310,2,"Explain the concept of overfitting in machine learning, discussing its causes and techniques for preventing it, such as early stopping and dropout regularization.",Linked List,2
349,2,"Discuss the principles of distributed computing, explaining concepts such as CAP theorem and eventual consistency.",Sorting,3
345,2,"Suppose you're clustering customer segments for targeted marketing campaigns. Explain how you would preprocess customer demographic data, select clustering algorithms, and evaluate cluster validity to identify meaningful segments.",Sorting,1
266,2,Can you explain the steps you took to ensure the accuracy and reliability of your data?,Arrays,2
328,2,"Explain the concept of model explainability in machine learning, discussing techniques for interpreting model predictions and building trust with stakeholders.",Arrays,3
317,2,"Explain the concept of data preprocessing in machine learning, discussing techniques such as normalization, feature scaling, and missing value imputation.",Sorting,2
291,2,Can we use Hashing in Game?,Arrays,2
281,2,Herder node is used as sentinel in graphs or stacks?,Other,3
275,2,Explain Python namespace?,Recursion,2
309,2,Can you explain the fundamental operations associated with a stack?,Linked List,3
334,2,"Consider you're designing a satellite communication system for remote sensing applications. Explain how you would calculate link budget parameters, including path loss, antenna gain, and noise figure, to ensure reliable data transmission.",Linked List,3
279,2,Is Graph hard?,Linked List,2
342,2,Consider you're analyzing customer sentiment from social media data. Describe the natural language processing (NLP) techniques and sentiment analysis algorithms you would use to extract insights and visualize trends from text data.,Sorting,3
311,2,"Discuss the principles of model interpretability techniques, explaining their use for explaining black-box model predictions.",Other,1
320,2,"Explain the concept of deep reinforcement learning, discussing its applications in game playing, robotics, and autonomous systems.",Sorting,3
326,2,"Interpret the concept of data privacy and ethics in AI & DS, discussing challenges such as algorithmic bias, data anonymization, and informed consent.",Recursion,2
284,2,Can graph be called as map?,Linked List,1
287,2,Is there a path between two nodes in this undirected graph?,Trees,3
274,2,Does python make use of access specifiers?,Recursion,3
363,2,"Algorithm and Data Structure is like console and a Game, isn't it?",Trees,1
263,2,Can we use AI to manipulate data?,Recursion,3
255,2,Are there any known biases or limitations in the data collection process?,Sorting,1
256,2,Are there any privacy or security considerations associated with the data?,Trees,2
267,2,Explain the concept of data lineage and its significance in understanding the origins and transformations of data within a complex data ecosystem?,Trees,2
352,2,"Compare the various data serialization formats (e.g., JSON, XML, Protocol Buffers) in terms of efficiency and readability.",Arrays,2
350,2,"Explain the concept of recursion in data structures, providing examples of recursive algorithms for tree traversal and graph traversal.",Sorting,3
315,2,"Interpret the concept of probabilistic graphical models, discussing their use for representing and reasoning under uncertainty.",Linked List,3
314,2,"Discuss the principles of adversarial machine learning, explaining techniques for generating adversarial examples and defending against them.",Linked List,1
